category_id,club_id,start_date,end_date,nbr_participants
18,94,30/07/2020,9/8/2020,11
20,94,30/07/2020,9/8/2020,7
21,94,30/07/2020,9/8/2020,6
22,94,30/07/2020,9/8/2020,1
23,94,30/07/2020,9/8/2020,5
25,94,30/07/2020,9/8/2020,2
26,94,30/07/2020,9/8/2020,0
27,94,30/07/2020,9/8/2020,3
28,94,30/07/2020,9/8/2020,2
29,94,30/07/2020,9/8/2020,1
30,94,30/07/2020,9/8/2020,2
31,94,30/07/2020,9/8/2020,0
68,94,30/07/2020,9/8/2020,0
69,94,30/07/2020,9/8/2020,4
70,94,30/07/2020,9/8/2020,3
71,94,30/07/2020,9/8/2020,6
72,94,30/07/2020,9/8/2020,2
73,94,30/07/2020,9/8/2020,2
74,94,30/07/2020,9/8/2020,5
75,94,30/07/2020,9/8/2020,1
76,94,30/07/2020,9/8/2020,3
77,94,30/07/2020,9/8/2020,2
78,94,30/07/2020,9/8/2020,2
79,94,30/07/2020,9/8/2020,0
80,94,30/07/2020,9/8/2020,0
81,94,30/07/2020,9/8/2020,0
82,94,30/07/2020,9/8/2020,0
32,94,30/07/2020,9/8/2020,7
33,94,30/07/2020,9/8/2020,5
34,94,30/07/2020,9/8/2020,6
35,94,30/07/2020,9/8/2020,10
36,94,30/07/2020,9/8/2020,7
37,94,30/07/2020,9/8/2020,4
38,94,30/07/2020,9/8/2020,3
39,94,30/07/2020,9/8/2020,5
83,94,30/07/2020,9/8/2020,5
84,94,30/07/2020,9/8/2020,5
85,94,30/07/2020,9/8/2020,6
86,94,30/07/2020,9/8/2020,4
87,94,30/07/2020,9/8/2020,7
88,94,30/07/2020,9/8/2020,2
89,94,30/07/2020,9/8/2020,7
90,94,30/07/2020,9/8/2020,5
170,94,30/07/2020,9/8/2020,1
171,94,30/07/2020,9/8/2020,5
172,94,30/07/2020,9/8/2020,9
108,94,30/07/2020,9/8/2020,11
109,94,30/07/2020,9/8/2020,7
110,94,30/07/2020,9/8/2020,6
111,94,30/07/2020,9/8/2020,6
133,94,30/07/2020,9/8/2020,1
134,94,30/07/2020,9/8/2020,3
135,94,30/07/2020,9/8/2020,6
156,94,30/07/2020,9/8/2020,4
157,94,30/07/2020,9/8/2020,4
158,94,30/07/2020,9/8/2020,4
159,94,30/07/2020,9/8/2020,6
7,129,27/06/2020,5/7/2020,21
8,129,27/06/2020,5/7/2020,20
9,129,27/06/2020,5/7/2020,25
10,129,27/06/2020,5/7/2020,23
11,129,27/06/2020,5/7/2020,43
64,129,27/06/2020,5/7/2020,6
65,129,27/06/2020,5/7/2020,11
66,129,27/06/2020,5/7/2020,13
67,129,27/06/2020,5/7/2020,8
16,129,27/06/2020,5/7/2020,8
17,129,27/06/2020,5/7/2020,1
18,129,27/06/2020,5/7/2020,16
22,129,27/06/2020,5/7/2020,7
23,129,27/06/2020,5/7/2020,13
32,129,27/06/2020,5/7/2020,7
33,129,27/06/2020,5/7/2020,5
34,129,27/06/2020,5/7/2020,5
35,129,27/06/2020,5/7/2020,15
36,129,27/06/2020,5/7/2020,17
37,129,27/06/2020,5/7/2020,5
38,129,27/06/2020,5/7/2020,15
39,129,27/06/2020,5/7/2020,7
83,129,27/06/2020,5/7/2020,2
84,129,27/06/2020,5/7/2020,4
85,129,27/06/2020,5/7/2020,3
86,129,27/06/2020,5/7/2020,0
87,129,27/06/2020,5/7/2020,7
88,129,27/06/2020,5/7/2020,6
89,129,27/06/2020,5/7/2020,4
90,129,27/06/2020,5/7/2020,7
170,129,27/06/2020,5/7/2020,5
171,129,27/06/2020,5/7/2020,10
172,129,27/06/2020,5/7/2020,10
110,129,27/06/2020,5/7/2020,10
111,129,27/06/2020,5/7/2020,18
159,129,27/06/2020,5/7/2020,12
7,131,30/07/2020,9/8/2020,16
8,131,30/07/2020,9/8/2020,16
9,131,30/07/2020,9/8/2020,16
10,131,30/07/2020,9/8/2020,32
11,131,30/07/2020,9/8/2020,61
14,131,30/07/2020,9/8/2020,9
15,131,30/07/2020,9/8/2020,15
16,131,30/07/2020,9/8/2020,16
17,131,30/07/2020,9/8/2020,10
18,131,30/07/2020,9/8/2020,16
20,131,30/07/2020,9/8/2020,16
21,131,30/07/2020,9/8/2020,8
22,131,30/07/2020,9/8/2020,5
23,131,30/07/2020,9/8/2020,15
32,131,30/07/2020,9/8/2020,13
33,131,30/07/2020,9/8/2020,15
35,131,30/07/2020,9/8/2020,14
36,131,30/07/2020,9/8/2020,31
38,131,30/07/2020,9/8/2020,29
83,131,30/07/2020,9/8/2020,2
84,131,30/07/2020,9/8/2020,6
86,131,30/07/2020,9/8/2020,4
87,131,30/07/2020,9/8/2020,11
89,131,30/07/2020,9/8/2020,7
170,131,30/07/2020,9/8/2020,7
171,131,30/07/2020,9/8/2020,12
8,252,3/9/2020,13/09/2020,8
9,252,3/9/2020,13/09/2020,11
10,252,3/9/2020,13/09/2020,14
11,252,3/9/2020,13/09/2020,30
64,252,3/9/2020,13/09/2020,3
65,252,3/9/2020,13/09/2020,7
66,252,3/9/2020,13/09/2020,8
67,252,3/9/2020,13/09/2020,7
16,252,3/9/2020,13/09/2020,6
17,252,3/9/2020,13/09/2020,10
18,252,3/9/2020,13/09/2020,8
21,252,3/9/2020,13/09/2020,7
22,252,3/9/2020,13/09/2020,7
23,252,3/9/2020,13/09/2020,6
28,252,3/9/2020,13/09/2020,2
29,252,3/9/2020,13/09/2020,0
