tournament_id,date,status,round
2123,11/7/2020,completed,1_16
2903,25/02/2020,completed,1_16
3040,30/10/2019,completed,1_8
3040,28/10/2019,completed,1_16
3039,28/10/2019,completed,1_16
1810,10/9/2020,completed,1_2
1810,6/9/2020,completed,1_4
1810,5/9/2020,completed,1_8
1431,21/12/2019,completed,1_64
2272,20/08/2020,completed,1_8
2272,18/08/2020,completed,1_16
2272,16/08/2020,completed,1_32
3052,3/8/2020,completed,1_32
3052,2/8/2020,completed,1_8
3077,5/8/2020,completed,1_4
3077,1/8/2020,completed,1_8
2272,15/08/2020,completed,1_16
2272,,WO,1_32
2283,16/08/2020,completed,1_8
2332,23/02/2020,completed,1_16
1441,29/12/2019,completed,final
1441,28/12/2019,completed,1_2
1441,27/12/2019,completed,1_4
1432,22/12/2019,completed,1_16
115,,WO,1_16
2732,14/09/2020,completed,1_16
3098,9/9/2020,completed,1_4
3107,5/9/2020,completed,1_4
3156,2/9/2020,completed,1_8
3147,31/08/2020,completed,1_8
3186,30/08/2020,completed,1_2
3186,25/08/2020,completed,1_4
3200,18/08/2020,completed,1_4
3241,16/08/2020,completed,1_16
2426,12/8/2020,completed,1_4
2426,9/8/2020,completed,1_8
3250,24/07/2020,completed,1_4
2319,14/07/2020,completed,1_16
3273,13/07/2020,completed,1_16
3294,10/7/2020,completed,1_4
3332,3/7/2020,completed,1_4
3353,24/06/2020,completed,1_8
3376,23/06/2020,completed,1_8
3398,19/06/2020,completed,1_4
3432,17/06/2020,completed,1_4
3463,12/3/2020,completed,1_8
3472,9/3/2020,completed,1_16
3463,3/3/2020,completed,1_16
3503,1/3/2020,completed,1_4
3494,28/02/2020,completed,1_8
3540,25/02/2020,completed,1_8
3531,20/02/2020,completed,1_16
3540,17/02/2020,completed,1_16
1260,2/2/2020,completed,1_16
2850,29/01/2020,completed,1_4
2846,28/01/2020,completed,1_8
2846,24/01/2020,completed,1_16
3570,6/1/2020,completed,1_8
3582,28/12/2019,completed,1_8
3608,16/12/2019,completed,1_16
3631,4/12/2019,completed,1_8
3645,3/12/2019,completed,1_8
3645,29/11/2019,completed,1_16
3200,,WO,1_2
3664,,WO,1_4
3561,,WO,1_8
3472,,completed,1_8
2517,9/9/2020,completed,1_8
2506,6/9/2020,completed,1_16
2506,5/9/2020,completed,1_32
2382,9/8/2020,completed,1_8
2517,,WO,1_16
3542,29/02/2020,completed,1_2
3542,21/02/2020,completed,1_4
3675,22/08/2020,completed,1_2
3674,22/08/2020,completed,1_2
3675,21/08/2020,completed,1_4
3674,21/08/2020,completed,1_4
3674,20/08/2020,completed,1_8
3675,18/08/2020,completed,1_8
3674,16/08/2020,completed,1_16
1802,26/07/2020,completed,final
1803,26/07/2020,completed,final
1802,25/07/2020,completed,1_2
1803,25/07/2020,completed,1_2
1803,25/07/2020,completed,1_4
1803,23/07/2020,completed,1_8
1802,23/07/2020,completed,1_4
1803,22/07/2020,completed,1_16
1802,22/07/2020,completed,1_8
1802,19/07/2020,completed,1_16
3687,19/07/2020,completed,final
3688,19/07/2020,completed,final
3687,18/07/2020,completed,1_2
3688,18/07/2020,completed,1_2
3687,17/07/2020,completed,1_4
3688,16/07/2020,completed,1_4
3688,15/07/2020,completed,1_8
3687,14/07/2020,completed,1_8
3688,13/07/2020,completed,1_16
3687,12/7/2020,completed,1_16
3698,5/7/2020,completed,final
3698,4/7/2020,completed,1_2
3698,2/7/2020,completed,1_4
3697,1/7/2020,completed,1_4
3698,29/06/2020,completed,1_8
3697,28/06/2020,completed,1_8
3697,28/06/2020,completed,1_16
3698,27/06/2020,completed,1_16
3709,17/07/2020,completed,1_4
3709,14/07/2020,completed,1_8
3722,10/7/2020,completed,1_4
3722,9/7/2020,completed,1_8
3722,6/7/2020,completed,1_16
